reference_no,tender_title,buyer_name,description,publication_date,closing_date,category,currency,source,link,ai_score,ai_summary,ai_keywords,priority
6613359-2,RFQ-Blanket Agreement to Supply Veterinary Medicines for 2 years,ADAFSA - Abu Dhabi Agriculture And Food Safety Authority ,"Blanket Agreement for 2 years Supply Veterinary Medicines
to Abu Dhabi Agriculture and Food Safety",,2025-12-31,"Healthcare Services - Diagnoses of external causes of morbidity and mortality  ,Drugs and Pharmaceutical Products - Nonsteroidal anti inflammatory drugs NSAIDs,Drugs and Pharmaceutical Products - Drugs affecting the ears,Medical Equipment and Accessories and Supplies - Patient care and treatment products and supplies,Management and Business Professionals and Administrative Services - Real estate services,Drugs and Pharmaceutical Products - Antiseptics,Cleaning Equipment and Supplies - Water and wastewater treatment supply and disposal",,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1220053?recommendedLimit=3,75,"This tender seeks a reliable supplier to provide a comprehensive blanket agreement for veterinary medicines over a two-year period, specifically tailored for Abu Dhabi Agriculture and Food Safety. The focus is on ensuring consistent access to high-quality products and ongoing support through data analytics and software solutions to optimize supply chain management and improve animal health outcomes.","ai, software, data",HIGH
635105000101,RFQ-Supply of Fruits and Dates - Framework Agreement 2 Years,ADPIC - Department of Municipalities and Transport (DMT),Supply of Fruits and Dates - Framework Agreement 2 Years,,2025-12-30,Travel and Food and Lodging and Entertainment Services - Restaurants and catering,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1220078?recommendedLimit=3,75,"This RFQ seeks a comprehensive framework agreement for supplying fruits and dates over a two-year period. The focus is on leveraging AI and data analytics to optimize supply chain efficiency, enhance product quality, and improve forecasting accuracy within the agricultural sector.  We’re looking for a partner capable of delivering robust solutions and demonstrable value through technology integration.","ai, software, data",HIGH
651105000163,RFQ-Basic Insurance Policy Management,Department of Health,,,2026-01-09,Management and Business Professionals and Administrative Services - Legal services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1220062?recommendedLimit=3,85,"This tender seeks a robust software solution to manage basic insurance policy administration. The requirements emphasize automated data processing, intelligent insights derived from existing data, and improved operational efficiency – crucial for streamlining processes and reducing manual effort within the insurance sector.","ai, software, data",HIGH
327105000026,RFI-ADCMC Booklets,Emergencies Crises and Disasters Management Centre Abu Dhabi,To propose booklets design and concepts.,,2026-01-06,,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219423?recommendedLimit=3,75,"This tender seeks innovative booklet designs incorporating artificial intelligence (AI) and data analytics to effectively communicate complex software solutions and their benefits. The focus is on creating engaging, informative materials that clearly demonstrate the value proposition of these technologies for a specific target audience.","ai, software, data",HIGH
133105000062,RFQ-Supply of Home Appliances - Madinat Zayed and Al Dannah city,Ruler's Representative Court Al Dhafra Region,"Supply of Home Appliances - Madinat Zayed and Al Dannah city 
",,2025-12-29,"Cleaning Equipment and Supplies - Industrial laundry and dry cleaning equipment,Food Beverage and Tobacco Products - Beverages,Apparel and Luggage and Personal Care Products - Clothing,Furniture and Furnishings - Decorative adornments,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies - Industrial refrigeration,Mineral and Textile and Inedible Plant and Animal Materials - Minerals and ores and metals,Cleaning Equipment and Supplies - Cleaning and janitorial supplies,Industrial Manufacturing and Processing Machinery and Accessories - Industrial food and beverage equipment,Distribution and Conditioning Systems and Equipment and Components - Heating and ventilation and air circulation,Land and Buildings and Structures and Thoroughfares - Prefabricated buildings and structures,Structures and Building and Construction and Manufacturing Components and Supplies - Structural components and basic shapes,Travel and Food and Lodging and Entertainment Services - Restaurants and catering",,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1220069?recommendedLimit=3,85,"This tender seeks a reliable supplier to provide a comprehensive range of home appliances for Madinat Zayed and Al Dannah city. The focus is on selecting vendors capable of offering innovative solutions leveraging AI, software, and data analytics to optimize appliance performance and potentially enhance customer experience within these regions.","ai, software, data",HIGH
6632841,RFQ-Quality Assurance & Quality Control Services.,SSA - Social Support Authority ,Quality Assurance & Quality Control Services.,,2026-01-08,Engineering and Research and Technology Based Services - Computer services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219617?recommendedLimit=3,85,"This tender seeks a qualified partner to provide comprehensive Quality Assurance (QA) and Quality Control (QC) services, leveraging artificial intelligence (AI) and data analytics to optimize processes and ensure product/service quality. The successful bidder will demonstrate expertise in implementing robust testing methodologies, utilizing predictive modeling for proactive issue identification, and generating actionable insights from collected data to improve overall quality metrics.","ai, software, data",HIGH
6632825,RFQ-DoF - PROVISION OF VEHICLE LEASING AND DRIVER SERVICES 2026,Department of Finance,The Department of Finance – Abu Dhabi invites you to participate at the RFP for PROVISION OF VEHICLE LEASING AND DRIVER SERVICES 2026,,2026-01-08,Transportation and Storage and Mail Services - Transport services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219635?recommendedLimit=3,0,"** This tender seeks a reliable partner to provide comprehensive vehicle leasing and driver services for Abu Dhabi’s operations. The evaluation will focus on the technical capabilities of the proposed solution, particularly leveraging AI and data analytics to optimize efficiency and manage costs within this critical service area.","ai, software, data",LOW
6632844,"RFQ-SSA CCTV, Access Doors, and Meeting Rooms Solutions",SSA - Social Support Authority ,"SSA CCTV, Access Doors, and Meeting Rooms Solutions",,2026-01-08,Information Technology Broadcasting and Telecommunications - Computer Equipment and Accessories,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219644?recommendedLimit=3,0,"** This tender seeks a comprehensive solution integrating Artificial Intelligence (AI) software with advanced CCTV systems, access doors, and meeting room facilities. The focus is on leveraging data analytics to optimize security, improve operational efficiency, and enhance user experience through intelligent monitoring and automated controls.","ai, software, data",LOW
6632830,RFQ-Training Program: Executive Coaching for Senior Leaders,Department of Finance,"The Department of Finance – Abu Dhabi invites you to participate at the RFP for 2026 Training Program: Executive Coaching for Senior Leaders – Confidence, Political Savvy, Emotional Resilience, and People Leadership Excellence",,2026-01-19,Education and Training Services - Specialized educational services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219707?recommendedLimit=3,85,"This tender seeks to provide a comprehensive executive coaching program designed to enhance the leadership capabilities of senior executives within the Department of Finance. The program will focus on developing crucial skills including confidence, political savvy, emotional resilience, and people leadership excellence, leveraging AI-powered tools and data analytics for personalized insights and targeted development.","ai, software, data",HIGH
6622825,RFQ-G1022025,ADPIC - Al Ain Municipality (AAM),"Construction of Fish, Fruits & Vegetables Market in Al Aamerah Area – Al Ain City",,2026-01-26,Structures and Building and Construction and Manufacturing Components and Supplies - Roads and landscape,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219743?recommendedLimit=3,85,"This RFQ seeks a qualified contractor to develop a comprehensive software solution for optimizing operations within the Al Aamerah Fish, Fruits & Vegetables Market. The focus will be on leveraging data analytics to improve supply chain efficiency, inventory management, and ultimately, enhance profitability for the market operator.","ai, software, data",HIGH
