Project Code,Project Title,Description,Buyer Organisation,Buyer Organisation.1,Publication Date,Supply Category,Response Currency,Closing date/time,Project Categories,Number of Attachments,Notices,Source,reference_no,tender_title
tender_84747,Marketing,"For Contcat or Clarifications: Shaikha M. AlJassmi
Planning & Corporate Development
Manager of Marketing  & Community Services Section
Phone:      +971 4 2030477
Fax:          +971 4 2030250
P.O.Box:   1166 Dubai
www.dubailand.gov.ae
 - 
null: Please check the attached scope of work.
Enter here the total value of the event.
If you have detailed offer, kindly attach it in the additional attachment area. - 1 LS",Dubai Land Department,Dubai Land Department,2017-08-24 08:00:01,Other,AED,28/12/2025,749946,0,0,Dubai,tender_84747,Marketing
tender_75321,Admin Dept .,null: عقد سنوي لمكافحة الحشرات - 1 LS,Dubai Land Department,Dubai Land Department,2017-02-15 12:45:01,Other,AED,28/12/2025,14002,0,0,Dubai,tender_75321,Admin Dept .
tender_189205,Administrative,"null: Please check the attached scope of work.
Enter here the total value.
If you have detailed offer, kindly attach it in the additional attachment area
 - 1 each
note: • The price offer must be submitted exclusively on the Tejari platform, and if it is sent to an email, the submitted offer will be excluded
• يجب تقديم عرض السعر حصراً على منصة تجاري، وفي حال تم ارساله إلى بريد الكتروني سيتم استبعاد العرض المقدم
 - 
Location: Location: Dubai Land Department, (Bani Yas Road, near Etisalat Building, Deira)


الموقع: دائرة الأراضي والأملاك في دبي (شارع بني ياس ، بالقرب من مبنى اتصالات ، ديرة)
 - 
for enquiries: To view the building, call from 8 a.m. to 1 p.m.

Mahmoud Warda
Phone number: +971 4 2030198


mahmood@dubailand.gov.ae
contracts@dubailand.gov.ae 
---------------------------------
Radwan: 0504646009
 -",Dubai Land Department,Dubai Land Department,2023-10-30 08:40:02,Other,AED,28/12/2025,749301,0,0,Dubai,tender_189205,Administrative
tender_229854,12533324 OSP,1: OSP: 37997-TROLLEY-LOWBED TRAILER (J/C# INS-25-885990) REPLACEMENT OF SUMITOMO TYRE-2NO.S - 1 EA,Dubai Municipality,Dubai Municipality,2025-12-25 15:25:00,Other,AED,29/12/2025,502001,0,0,Dubai,tender_229854,12533324 OSP
tender_229861,12533467 OSP,1: OSP: ASTR-AA-84261 (J/C# INS-25-887035) REPAIR HYDRAULIC BOOM EXTENSION CYLINDER LEAK - 1 EA,Dubai Municipality,Dubai Municipality,2025-12-25 15:25:00,Other,AED,29/12/2025,502001,0,0,Dubai,tender_229861,12533467 OSP
tender_229764,مناقصة تنظيم الحفل السنوي لموظفين المؤسسة لعدد 460 موظف,1: مناقصة تنظيم الحفل السنوي لموظفين المؤسسة لعدد 460 موظف - 1 EA,Mohammed Bin Rashid Housing Est.,Mohammed Bin Rashid Housing Est.,2025-12-23 13:20:00,Other,AED,29/12/2025,749912,0,0,Dubai,tender_229764,مناقصة تنظيم الحفل السنوي لموظفين المؤسسة لعدد 460 موظف
tender_229886,REQ 12533647 / 12533370 -VOR -W.O# INS-25-886633,"1: [120-91492] REAR TAIL LIGHT ASSY LH MP2413766  POLARIS BIKE 2014 - 1 EA
2: [120-91493] REAR TAIL LIGHT ASSY RH MP2413767 POLARIS BIKE 2014 - 1 EA",Dubai Municipality,Dubai Municipality,2025-12-26 17:30:00,Other,AED,29/12/2025,503001,0,0,Dubai,tender_229886,REQ 12533647 / 12533370 -VOR -W.O# INS-25-886633
tender_229876,REQ 12533589 / 12533275 - VOR -W.O#  INS-25-886473,1: [140-25025] KNITTED SHADECLOTH - 2 EA,Dubai Municipality,Dubai Municipality,2025-12-26 16:40:00,Other,AED,29/12/2025,503001,0,0,Dubai,tender_229876,REQ 12533589 / 12533275 - VOR -W.O#  INS-25-886473
tender_229878,REQ 12533612 / 12533189 -VOR -W.O# INS-25-885931,"1: [120-93238] TUBE 195-50-51340 KOMATSU, DOZZER 2017 - 2 EA",Dubai Municipality,Dubai Municipality,2025-12-26 16:45:00,Other,AED,29/12/2025,503001,0,0,Dubai,tender_229878,REQ 12533612 / 12533189 -VOR -W.O# INS-25-885931
tender_229879,REQ 12533617 / 12533068-VOR - W.O#INS-25-885756,1: [100-20585] BAR HOLLOW M.S. 100MM X 50MM X 6MM X 20' - 4 EA,Dubai Municipality,Dubai Municipality,2025-12-26 16:45:01,Other,AED,29/12/2025,503001,0,0,Dubai,tender_229879,REQ 12533617 / 12533068-VOR - W.O#INS-25-885756
tender_229882,REQ 12533631 / 12533378 -VOR -W.O# INS-25-886533,"1: [120-29453] TIRE; TYPE: SAND, MAKE: DUNLOP, P/N: 225/95 R16C, SZ DSGN: 225/95R16C, MATL: RUBBER, TREAD: TG21 PATTERN, PLY: 8, SPEED: 180km/h, LOAD: 118/116R, ADDL INFO: WITH TUBE & FLAP - 4 EA",Dubai Municipality,Dubai Municipality,2025-12-26 16:50:01,Other,AED,29/12/2025,503001,0,0,Dubai,tender_229882,REQ 12533631 / 12533378 -VOR -W.O# INS-25-886533
tender_229883,REQ 12533637 / 12532886 -VOR -W.O# INS-25-885626,"1: [120-87933] DRIVE CLUTCH MP1323801 LIGHT VEHICLE, POLARIS, MOTORCYCLE, 900D 2022 - 1 EA
2: [120-88225] DRIVE CLUTCH MP1323824POLARIS 2022 - 1 EA
3: [120-77632] SEAL OUTER CLUTCH MP5521831 / POLARIS MOTOR CYCLE - 1 EA",Dubai Municipality,Dubai Municipality,2025-12-26 16:55:00,Other,AED,29/12/2025,503001,0,0,Dubai,tender_229883,REQ 12533637 / 12532886 -VOR -W.O# INS-25-885626
